ID;ROL;MICROSERVICIO;MÉTODO;ENDPOINT;DESCRIPCIÓN;ENTRADA(JSON);TOKEN/ROL REQUERIDO;RESPUESTA ESPERADA;HTTP STATUS;VALIDACIONES CLAVE;RESULTADO(OK/FAIL)
001;cliente;servicio-gestion;GET;/api-gestion/clientes;Listar todos los clientes del sistema;N/A;Bearer token JWT (cualquier rol);Lista de clientes con id, nombre, apellido, email, telefono, cuil;200;Debe retornar array vacío si no hay clientes. Debe incluir paginación si hay muchos registros.;
002;cliente;servicio-gestion;GET;/api-gestion/clientes/1;Obtener cliente por ID existente;N/A;Bearer token JWT (cualquier rol);Cliente con id=1 con todos sus datos: {"id":1,"nombre":"Juan","apellido":"Pérez","email":"juan@mail.com","telefono":"3516789012","cuil":"20123456789"};200;ID debe existir en BD. Validar estructura completa del JSON.;
003;cliente;servicio-gestion;GET;/api-gestion/clientes/999;Obtener cliente por ID inexistente;N/A;Bearer token JWT (cualquier rol);Cuerpo vacío o mensaje de error;404;Debe retornar 404 Not Found cuando el ID no existe.;
004;operador;servicio-gestion;POST;/api-gestion/clientes;Crear nuevo cliente con datos válidos;{"nombre":"María","apellido":"González","email":"maria@mail.com","telefono":"3517890123","cuil":"27345678901"};Bearer token JWT (rol operador);Cliente creado con ID autogenerado: {"id":2,"nombre":"María","apellido":"González","email":"maria@mail.com","telefono":"3517890123","cuil":"27345678901"};200;Validar @NotBlank en nombre/apellido, @Email en email, @Pattern en CUIL. Email debe ser único.;
005;operador;servicio-gestion;POST;/api-gestion/clientes;Crear cliente con email duplicado;{"nombre":"Pedro","apellido":"Lopez","email":"maria@mail.com","telefono":"3518901234","cuil":"20456789012"};Bearer token JWT (rol operador);Error de validación: {"timestamp":"2024-01-15T10:30:00","status":409,"error":"Conflict","message":"El email ya existe en el sistema","path":"/api-gestion/clientes"};409;Debe detectar constraint de email único en BD.;
006;operador;servicio-gestion;POST;/api-gestion/clientes;Crear cliente con datos inválidos (email mal formado);{"nombre":"Ana","apellido":"Martinez","email":"ana.mail.com","telefono":"3519012345","cuil":"27567890123"};Bearer token JWT (rol operador);Error de validación: {"timestamp":"2024-01-15T10:30:00","status":400,"error":"Bad Request","message":"El email debe ser válido","path":"/api-gestion/clientes"};400;Validación @Email debe fallar. Debe retornar detalles del campo inválido.;
007;operador;servicio-gestion;POST;/api-gestion/clientes;Crear cliente con campos obligatorios faltantes;{"apellido":"Fernández","email":"carlos@mail.com"};Bearer token JWT (rol operador);Error de validación: {"timestamp":"2024-01-15T10:30:00","status":400,"error":"Bad Request","message":"El nombre es obligatorio","path":"/api-gestion/clientes"};400;Validación @NotBlank debe detectar campo nombre faltante.;
008;operador;servicio-gestion;PUT;/api-gestion/clientes/1;Actualizar cliente existente con datos válidos;{"nombre":"Juan Carlos","apellido":"Pérez","email":"juancarlos@mail.com","telefono":"3516789999","cuil":"20123456789"};Bearer token JWT (rol operador);Cliente actualizado: {"id":1,"nombre":"Juan Carlos","apellido":"Pérez","email":"juancarlos@mail.com","telefono":"3516789999","cuil":"20123456789"};200;Debe actualizar todos los campos. ID debe existir previamente.;
009;operador;servicio-gestion;PUT;/api-gestion/clientes/999;Actualizar cliente inexistente;{"nombre":"Inexistente","apellido":"Usuario","email":"inexistente@mail.com","telefono":"3510000000","cuil":"20000000000"};Bearer token JWT (rol operador);Error: {"timestamp":"2024-01-15T10:30:00","status":404,"error":"Not Found","message":"Cliente no encontrado con ID: 999","path":"/api-gestion/clientes/999"};404;Debe validar que el ID exista antes de actualizar.;
010;operador;servicio-gestion;DELETE;/api-gestion/clientes/1;Eliminar cliente existente;N/A;Bearer token JWT (rol operador);Cuerpo vacío (No Content);204;Debe eliminar lógica o físicamente el cliente. Validar cascada en contenedores asociados.;
011;operador;servicio-gestion;DELETE;/api-gestion/clientes/999;Eliminar cliente inexistente;N/A;Bearer token JWT (rol operador);Error: {"timestamp":"2024-01-15T10:30:00","status":404,"error":"Not Found","message":"Cliente no encontrado con ID: 999","path":"/api-gestion/clientes/999"};404;Debe retornar 404 si el cliente no existe.;
012;cliente;servicio-gestion;GET;/api-gestion/contenedores;Listar todos los contenedores;N/A;Bearer token JWT (cualquier rol);Lista de contenedores: [{"id":1,"codigoIdentificacion":"CONT-001","peso":1500.5,"volumen":2.5,"cliente":{"id":1}}];200;Debe incluir relación con cliente (lazy loading). Validar performance con muchos registros.;
013;cliente;servicio-gestion;GET;/api-gestion/contenedores/cliente/1;Listar contenedores de un cliente específico;N/A;Bearer token JWT (cualquier rol);Lista filtrada de contenedores del cliente con id=1;200;Debe aplicar filtro WHERE id_cliente = 1. Retornar array vacío si cliente no tiene contenedores.;
014;cliente;servicio-gestion;GET;/api-gestion/contenedores/codigo/CONT-001;Buscar contenedor por código existente;N/A;Bearer token JWT (cualquier rol);Contenedor: {"id":1,"codigoIdentificacion":"CONT-001","peso":1500.5,"volumen":2.5,"cliente":{"id":1}};200;Código debe ser único. Búsqueda case-sensitive.;
015;cliente;servicio-gestion;GET;/api-gestion/contenedores/codigo/CONT-999;Buscar contenedor por código inexistente;N/A;Bearer token JWT (cualquier rol);Cuerpo vacío;404;Debe retornar 404 Not Found si el código no existe.;
